[Név],[Főváros],[Belépés dátuma],[Népesség],[Terület]
Ausztria,Bécs,1995. január 1.,8451900,83855
Belgium,Brüsszel,alapító,11161600,30528
Bulgária,Szófia,2007. január 1.,7284600,110994
Ciprus,Nicosia,2004. május 1.,865900,9251
Csehország,Prága,2004. május 1.,10516100,78866
Dánia,Koppenhága,1973. január 1.,5602600,43075
Észtország,Tallinn,2004. május 1.,1324800,45227
Finnország,Helsinki,1995. január 1.,5426700,338424
Franciaország,Párizs,alapító,65633200,674843
Görögország,Athén,1981. január 1.,11062500,131990
Hollandia,Amszterdam,alapító,16779600,41543
Horvátország,Zágráb,2013. július 1.,4262100,56594
Írország,Dublin,1973. január 1.,4591100,70273
Lengyelország,Varsó,2004. május 1.,38533300,312685
Lettország,Riga,2004. május 1.,2023800,64589
Litvánia,Vilnius,2004. május 1.,2971900,65200
Luxemburg,Luxembourg,alapító,537000,2586
Magyarország,Budapest,2004. május 1.,9908800,93030
Málta,Valletta,2004. május 1.,421400,316
Németország,Berlin,alapító,80523700,357021
Olaszország,Róma,alapító,59685200,301338
Portugália,Lisszabon,1986. január 1.,10487300,92390
Románia,Bukarest,2007. január 1.,20057500,238391
Spanyolország,Madrid,1986. január 1.,46704300,504030
Svédország,Stockholm,1995. január 1.,9555900,449964
Szlovákia,Pozsony,2004. május 1.,5410800,49035
Szlovénia,Ljubljana,2004. május 1.,2058800,20273